shop,query,product_id,utc_time,title
ebay,men,406892382589,2026-05-02T05:37:37.933Z,
ebay,men,366381895811,2026-05-02T05:37:38.420Z,
ebay,men,266959498095,2026-05-02T05:37:38.575Z,
ebay,men,147135911627,2026-05-02T05:37:38.721Z,
ebay,men,267087417477,2026-05-02T05:37:38.919Z,
ebay,men,157875865406,2026-05-02T05:37:39.023Z,
ebay,men,376650482880,2026-05-02T05:37:39.451Z,
ebay,men,397575262257,2026-05-02T05:37:39.801Z,
ebay,men,188260777724,2026-05-02T05:37:39.932Z,
ebay,men,236220511344,2026-05-02T05:37:40.274Z,
ebay,men,312640970232,2026-05-02T05:37:40.662Z,
ebay,men,298270672682,2026-05-02T05:37:40.896Z,
ebay,men,298279758056,2026-05-02T05:37:41.007Z,
ebay,men,137203185402,2026-05-02T05:37:41.327Z,
ebay,men,326443886403,2026-05-02T05:37:41.658Z,
ebay,men,198311079569,2026-05-02T05:37:41.758Z,
ebay,men,157862769088,2026-05-02T05:37:41.931Z,
ebay,men,336442549523,2026-05-02T05:37:42.288Z,
ebay,men,234080717522,2026-05-02T05:37:42.452Z,
ebay,men,234907223057,2026-05-02T05:37:42.704Z,
ebay,men,396425171406,2026-05-02T05:37:42.832Z,
ebay,men,394759484430,2026-05-02T05:37:43.167Z,
ebay,men,336533955251,2026-05-02T05:37:43.527Z,
ebay,men,147244623270,2026-05-02T05:37:43.958Z,
ebay,men,381489814130,2026-05-02T05:37:44.068Z,
ebay,men,147244603874,2026-05-02T05:37:44.504Z,
ebay,men,314644859809,2026-05-02T05:37:44.881Z,
ebay,men,168304784926,2026-05-02T05:37:45.079Z,
ebay,men,127703270594,2026-05-02T05:37:45.516Z,
ebay,men,147124500880,2026-05-02T05:37:45.995Z,
ebay,men,188284305156,2026-05-02T05:37:46.309Z,
ebay,men,336533956913,2026-05-02T05:37:46.627Z,
ebay,men,291630899267,2026-05-02T05:37:46.820Z,
ebay,men,293620756749,2026-05-02T05:37:47.128Z,
ebay,men,147108508984,2026-05-02T05:37:47.444Z,
ebay,men,235789568437,2026-05-02T05:37:47.701Z,
ebay,men,393598426762,2026-05-02T05:37:47.990Z,
ebay,men,406892382589,2026-05-02T05:38:07.577Z,
ebay,men,366381895811,2026-05-02T05:38:07.885Z,
ebay,men,266959498095,2026-05-02T05:38:08.118Z,
ebay,men,147135911627,2026-05-02T05:38:08.348Z,
ebay,men,267087417477,2026-05-02T05:38:08.500Z,
ebay,men,157875865406,2026-05-02T05:38:08.933Z,
ebay,men,376650482880,2026-05-02T05:38:09.305Z,
ebay,men,397575262257,2026-05-02T05:38:09.755Z,
ebay,men,188260777724,2026-05-02T05:38:10.197Z,
ebay,men,236220511344,2026-05-02T05:38:10.504Z,
ebay,men,312640970232,2026-05-02T05:38:10.940Z,
ebay,men,298270672682,2026-05-02T05:38:11.187Z,
ebay,men,298279758056,2026-05-02T05:38:11.399Z,
ebay,men,137203185402,2026-05-02T05:38:11.892Z,
ebay,men,326443886403,2026-05-02T05:38:12.116Z,
ebay,men,198311079569,2026-05-02T05:38:12.552Z,
ebay,men,157862769088,2026-05-02T05:38:12.949Z,
ebay,men,336442549523,2026-05-02T05:38:13.138Z,
ebay,men,234080717522,2026-05-02T05:38:13.406Z,
ebay,men,234907223057,2026-05-02T05:38:13.666Z,
ebay,men,396425171406,2026-05-02T05:38:14.123Z,
ebay,men,394759484430,2026-05-02T05:38:14.588Z,
ebay,men,336533955251,2026-05-02T05:38:14.823Z,
ebay,men,147244623270,2026-05-02T05:38:14.923Z,
ebay,men,381489814130,2026-05-02T05:38:15.171Z,
ebay,men,147244603874,2026-05-02T05:38:15.547Z,
ebay,men,314644859809,2026-05-02T05:38:15.819Z,
ebay,men,168304784926,2026-05-02T05:38:16.292Z,
ebay,men,127703270594,2026-05-02T05:38:16.543Z,
ebay,men,147124500880,2026-05-02T05:38:16.728Z,
ebay,men,188284305156,2026-05-02T05:38:16.852Z,
ebay,men,336533956913,2026-05-02T05:38:17.270Z,
ebay,men,291630899267,2026-05-02T05:38:17.395Z,
ebay,men,293620756749,2026-05-02T05:38:17.613Z,
ebay,men,147108508984,2026-05-02T05:38:18.079Z,
ebay,men,235789568437,2026-05-02T05:38:18.270Z,
ebay,men,393598426762,2026-05-02T05:38:18.439Z,
ebay,men,406892382589,2026-05-02T05:38:28.237Z,
ebay,men,366381895811,2026-05-02T05:38:28.379Z,
